50000
1,74
1,115
1,572
1,735
1,1117
1,1341
1,1586
1,1814
1,1830
1,1981
2,52
2,175
2,180
2,1265
2,1426
2,2334
3,607
3,609
3,677
3,743
3,1658
3,1681
3,1871
3,2146
3,2265
3,2392
3,2483
4,311
4,516
4,581
4,653
4,796
4,993
4,1097
4,1543
4,1625
4,1644
4,1824
4,1868
5,94
5,98
5,149
5,361
5,534
5,840
5,901
5,1438
5,1618
5,1705
5,2118
5,2129
6,444
6,1297
6,1617
6,2004
6,2367
7,165
7,514
7,846
7,927
7,1218
7,1315
7,1329
7,1650
7,2181
8,23
8,1307
8,1316
8,1549
8,1686
8,1920
8,1974
8,2429
9,771
9,885
9,1001
9,1160
9,1228
10,576
10,785
10,919
10,1338
10,1387
10,2312
11,96
11,188
11,396
11,493
11,588
11,1063
11,1104
11,1213
11,1518
11,1784
11,1797
11,1866
11,1924
11,2129
11,2394
12,334
12,401
12,408
12,757
12,914
12,1055
12,1283
12,1569
12,1693
12,1920
12,2243
12,2339
12,2493
13,161
13,350
13,370
13,553
13,685
13,912
13,1002
13,1383
13,1450
13,1488
13,1611
13,1747
13,2000
13,2066
14,459
14,641
14,706
14,1275
14,1641
14,1662
14,1889
14,2091
14,2131
14,2235
14,2270
15,262
15,670
15,1178
15,1339
15,1351
15,1443
15,1482
15,1559
15,1820
15,2044
16,485
16,619
16,993
16,1035
16,1277
16,1391
16,1445
16,1662
16,1743
16,1996
16,2073
16,2082
17,14
17,236
17,559
17,665
17,1206
17,1301
17,1461
17,1780
18,69
18,97
18,711
18,944
18,1247
18,1433
18,1516
18,1878
18,2424
19,253
19,794
19,819
19,1089
19,1351
19,1426
19,2008
20,225
20,414
20,1084
20,1194
20,1320
20,1629
20,1881
20,1916
20,1924
20,2165
21,296
21,449
21,492
21,868
21,959
21,960
21,1126
21,1490
21,1501
21,1858
21,2371
21,2401
21,2417
21,2493
22,406
22,468
22,511
22,786
22,1319
22,1966
23,390
23,510
23,551
23,748
23,773
23,778
23,800
23,812
23,827
23,922
23,1227
23,1411
23,1424
23,1473
23,1606
23,1682
23,2155
24,46
24,525
24,819
24,860
24,982
24,1207
24,1238
24,1342
24,1493
24,1501
24,1514
24,1727
24,1843
24,1994
24,2114
24,2136
24,2317
24,2399
25,175
25,689
25,822
25,1453
25,1478
25,1627
25,1655
25,2085
25,2087
25,2162
26,135
26,207
26,340
26,348
26,491
26,1295
26,1372
26,1925
26,2031
27,206
27,551
27,749
27,762
27,805
27,904
27,1187
27,1598
27,2099
27,2159
27,2251
28,210
28,294
28,586
28,597
28,1064
28,1066
28,1267
28,1441
28,1652
28,2071
28,2248
28,2313
29,101
29,244
29,357
29,676
29,1364
29,2019
29,2213
29,2405
29,2479
30,539
30,556
30,692
30,954
30,1430
30,1544
30,1691
30,1960
30,2350
31,573
31,781
31,1603
32,700
32,997
32,1020
32,1129
32,1593
33,256
33,397
33,829
33,953
33,1711
33,1853
33,1879
33,1962
33,2416
